Class,NominalLambdaMax,LambdaMaxShiftMin,LambdaMaxShiftMax,targetAge,ageRangeMin,ageRangeMax,targetContrast,measuredTargetContrast,meanContrast,stdContrast,meanAbsContrast,stdAbsContrast,minContrast,maxContrast,expectedValue
LCone,558.90,-10.00,10.00,36.00,1.00,80.00,0.00000,0.00006,0.00250,0.00458,0.00388,0.00248,-0.00761,0.01051,0.00213
MCone,530.30,-10.00,10.00,36.00,1.00,80.00,0.00000,-0.00104,-0.00164,0.00403,0.00350,0.00221,-0.00849,0.00786,0.00209
SCone,420.70,-10.00,10.00,36.00,1.00,80.00,0.00000,0.00101,0.01156,0.00983,0.00838,0.00541,-0.01665,0.02235,0.00467
Melanopsin,480.00,-10.00,10.00,36.00,1.00,80.00,0.20000,0.19947,0.19482,0.01156,0.19890,0.01156,0.17471,0.22022,0.19928
LCone,558.90,-10.00,10.00,37.00,1.00,80.00,0.00000,0.00007,0.00250,0.00460,0.00389,0.00249,-0.00764,0.01058,0.00214
MCone,530.30,-10.00,10.00,37.00,1.00,80.00,0.00000,-0.00130,-0.00164,0.00405,0.00356,0.00225,-0.00871,0.00756,0.00218
SCone,420.70,-10.00,10.00,37.00,1.00,80.00,0.00000,0.00127,0.01156,0.00990,0.00846,0.00549,-0.01652,0.02273,0.00475
Melanopsin,480.00,-10.00,10.00,37.00,1.00,80.00,0.20000,0.19933,0.19482,0.01161,0.19877,0.01161,0.17448,0.22020,0.19915
LCone,558.90,-10.00,10.00,38.00,1.00,80.00,0.00000,0.00009,0.00250,0.00462,0.00391,0.00251,-0.00766,0.01064,0.00215
MCone,530.30,-10.00,10.00,38.00,1.00,80.00,0.00000,-0.00156,-0.00164,0.00407,0.00362,0.00231,-0.00898,0.00727,0.00229
SCone,420.70,-10.00,10.00,38.00,1.00,80.00,0.00000,0.00154,0.01156,0.00998,0.00856,0.00558,-0.01639,0.02312,0.00483
Melanopsin,480.00,-10.00,10.00,38.00,1.00,80.00,0.20000,0.19919,0.19482,0.01167,0.19864,0.01167,0.17425,0.22018,0.19901
LCone,558.90,-10.00,10.00,39.00,1.00,80.00,0.00000,0.00011,0.00250,0.00465,0.00394,0.00252,-0.00769,0.01071,0.00216
MCone,530.30,-10.00,10.00,39.00,1.00,80.00,0.00000,-0.00182,-0.00164,0.00409,0.00370,0.00239,-0.00974,0.00698,0.00241
SCone,420.70,-10.00,10.00,39.00,1.00,80.00,0.00000,0.00181,0.01156,0.01006,0.00867,0.00568,-0.01625,0.02350,0.00492
Melanopsin,480.00,-10.00,10.00,39.00,1.00,80.00,0.20000,0.19905,0.19482,0.01172,0.19850,0.01172,0.17401,0.22015,0.19887
LCone,558.90,-10.00,10.00,40.00,1.00,80.00,0.00000,0.00013,0.00250,0.00467,0.00396,0.00254,-0.00771,0.01078,0.00217
MCone,530.30,-10.00,10.00,40.00,1.00,80.00,0.00000,-0.00207,-0.00164,0.00412,0.00380,0.00248,-0.01048,0.00669,0.00256
SCone,420.70,-10.00,10.00,40.00,1.00,80.00,0.00000,0.00208,0.01156,0.01016,0.00879,0.00579,-0.01611,0.02391,0.00503
Melanopsin,480.00,-10.00,10.00,40.00,1.00,80.00,0.20000,0.19890,0.19482,0.01178,0.19835,0.01178,0.17377,0.22012,0.19872
LCone,558.90,-10.00,10.00,41.00,1.00,80.00,0.00000,0.00015,0.00250,0.00469,0.00398,0.00255,-0.00773,0.01085,0.00219
MCone,530.30,-10.00,10.00,41.00,1.00,80.00,0.00000,-0.00233,-0.00164,0.00415,0.00390,0.00260,-0.01122,0.00641,0.00272
SCone,420.70,-10.00,10.00,41.00,1.00,80.00,0.00000,0.00236,0.01156,0.01026,0.00894,0.00592,-0.01596,0.02431,0.00514
Melanopsin,480.00,-10.00,10.00,41.00,1.00,80.00,0.20000,0.19876,0.19482,0.01184,0.19819,0.01184,0.17353,0.22009,0.19858
LCone,558.90,-10.00,10.00,42.00,1.00,80.00,0.00000,0.00017,0.00250,0.00472,0.00400,0.00257,-0.00775,0.01092,0.00220
MCone,530.30,-10.00,10.00,42.00,1.00,80.00,0.00000,-0.00258,-0.00164,0.00420,0.00402,0.00274,-0.01195,0.00612,0.00289
SCone,420.70,-10.00,10.00,42.00,1.00,80.00,0.00000,0.00265,0.01156,0.01038,0.00910,0.00607,-0.01581,0.02473,0.00527
Melanopsin,480.00,-10.00,10.00,42.00,1.00,80.00,0.20000,0.19861,0.19482,0.01191,0.19801,0.01191,0.17329,0.22006,0.19843
LCone,558.90,-10.00,10.00,43.00,1.00,80.00,0.00000,0.00019,0.00250,0.00475,0.00403,0.00259,-0.00777,0.01099,0.00221
MCone,530.30,-10.00,10.00,43.00,1.00,80.00,0.00000,-0.00284,-0.00164,0.00425,0.00416,0.00289,-0.01267,0.00584,0.00307
SCone,420.70,-10.00,10.00,43.00,1.00,80.00,0.00000,0.00294,0.01156,0.01052,0.00928,0.00624,-0.01565,0.02514,0.00541
Melanopsin,480.00,-10.00,10.00,43.00,1.00,80.00,0.20000,0.19846,0.19482,0.01197,0.19783,0.01197,0.17305,0.22002,0.19828
LCone,558.90,-10.00,10.00,44.00,1.00,80.00,0.00000,0.00021,0.00250,0.00478,0.00406,0.00260,-0.00779,0.01106,0.00222
MCone,530.30,-10.00,10.00,44.00,1.00,80.00,0.00000,-0.00309,-0.00164,0.00432,0.00431,0.00306,-0.01338,0.00555,0.00327
SCone,420.70,-10.00,10.00,44.00,1.00,80.00,0.00000,0.00323,0.01156,0.01067,0.00948,0.00645,-0.01549,0.02568,0.00556
Melanopsin,480.00,-10.00,10.00,44.00,1.00,80.00,0.20000,0.19831,0.19482,0.01205,0.19763,0.01205,0.17281,0.21998,0.19812
LCone,558.90,-10.00,10.00,45.00,1.00,80.00,0.00000,0.00024,0.00250,0.00481,0.00409,0.00262,-0.00781,0.01113,0.00224
